year,round,date,constructor_id,position,points,wins
2018,1,2018-03-25,ferrari,1,40.0,1
2018,1,2018-03-25,mercedes,2,22.0,0
2018,1,2018-03-25,red_bull,3,20.0,0
2018,1,2018-03-25,mclaren,4,12.0,0
2018,1,2018-03-25,renault,5,7.0,0
2018,1,2018-03-25,force_india,6,0.0,0
2018,1,2018-03-25,sauber,7,0.0,0
2018,1,2018-03-25,williams,8,0.0,0
2018,1,2018-03-25,toro_rosso,9,0.0,0
2018,1,2018-03-25,haas,-,0.0,0
2018,2,2018-04-08,ferrari,1,65.0,2
2018,2,2018-04-08,mercedes,2,55.0,0
2018,2,2018-04-08,mclaren,3,22.0,0
2018,2,2018-04-08,red_bull,4,20.0,0
2018,2,2018-04-08,renault,5,15.0,0
2018,2,2018-04-08,toro_rosso,6,12.0,0
2018,2,2018-04-08,haas,7,10.0,0
2018,2,2018-04-08,sauber,8,2.0,0
2018,2,2018-04-08,force_india,9,1.0,0
2018,2,2018-04-08,williams,10,0.0,0
2018,3,2018-04-15,mercedes,1,85.0,0
2018,3,2018-04-15,ferrari,2,84.0,2
2018,3,2018-04-15,red_bull,3,55.0,1
2018,3,2018-04-15,mclaren,4,28.0,0
2018,3,2018-04-15,renault,5,25.0,0
2018,3,2018-04-15,toro_rosso,6,12.0,0
2018,3,2018-04-15,haas,7,11.0,0
2018,3,2018-04-15,sauber,8,2.0,0
2018,3,2018-04-15,force_india,9,1.0,0
2018,3,2018-04-15,williams,10,0.0,0
2018,4,2018-04-29,ferrari,1,114.0,2
2018,4,2018-04-29,mercedes,2,110.0,1
2018,4,2018-04-29,red_bull,3,55.0,1
2018,4,2018-04-29,mclaren,4,36.0,0
2018,4,2018-04-29,renault,5,35.0,0
2018,4,2018-04-29,force_india,6,16.0,0
2018,4,2018-04-29,toro_rosso,7,13.0,0
2018,4,2018-04-29,haas,8,11.0,0
2018,4,2018-04-29,sauber,9,10.0,0
2018,4,2018-04-29,williams,10,4.0,0
2018,5,2018-05-13,mercedes,1,153.0,2
2018,5,2018-05-13,ferrari,2,126.0,2
2018,5,2018-05-13,red_bull,3,80.0,1
2018,5,2018-05-13,renault,4,41.0,0
2018,5,2018-05-13,mclaren,5,40.0,0
2018,5,2018-05-13,haas,6,19.0,0
2018,5,2018-05-13,force_india,7,18.0,0
2018,5,2018-05-13,toro_rosso,8,13.0,0
2018,5,2018-05-13,sauber,9,11.0,0
2018,5,2018-05-13,williams,10,4.0,0
2018,6,2018-05-27,mercedes,1,178.0,2
2018,6,2018-05-27,ferrari,2,156.0,2
2018,6,2018-05-27,red_bull,3,107.0,2
2018,6,2018-05-27,renault,4,46.0,0
2018,6,2018-05-27,mclaren,5,40.0,0
2018,6,2018-05-27,force_india,6,26.0,0
2018,6,2018-05-27,toro_rosso,7,19.0,0
2018,6,2018-05-27,haas,8,19.0,0
2018,6,2018-05-27,sauber,9,11.0,0
2018,6,2018-05-27,williams,10,4.0,0
2018,7,2018-06-10,mercedes,1,206.0,2
2018,7,2018-06-10,ferrari,2,189.0,3
2018,7,2018-06-10,red_bull,3,134.0,2
2018,7,2018-06-10,renault,4,56.0,0
2018,7,2018-06-10,mclaren,5,40.0,0
2018,7,2018-06-10,force_india,6,28.0,0
2018,7,2018-06-10,toro_rosso,7,19.0,0
2018,7,2018-06-10,haas,8,19.0,0
2018,7,2018-06-10,sauber,9,12.0,0
2018,7,2018-06-10,williams,10,4.0,0
2018,8,2018-06-24,mercedes,1,237.0,3
2018,8,2018-06-24,ferrari,2,214.0,3
2018,8,2018-06-24,red_bull,3,164.0,2
2018,8,2018-06-24,renault,4,62.0,0
2018,8,2018-06-24,mclaren,5,40.0,0
2018,8,2018-06-24,force_india,6,28.0,0
2018,8,2018-06-24,haas,7,27.0,0
2018,8,2018-06-24,toro_rosso,8,19.0,0
2018,8,2018-06-24,sauber,9,13.0,0
2018,8,2018-06-24,williams,10,4.0,0
2018,9,2018-07-01,ferrari,1,247.0,3
2018,9,2018-07-01,mercedes,2,237.0,3
2018,9,2018-07-01,red_bull,3,189.0,3
2018,9,2018-07-01,renault,4,62.0,0
2018,9,2018-07-01,haas,5,49.0,0
2018,9,2018-07-01,mclaren,6,44.0,0
2018,9,2018-07-01,force_india,7,42.0,0
2018,9,2018-07-01,toro_rosso,8,19.0,0
2018,9,2018-07-01,sauber,9,16.0,0
2018,9,2018-07-01,williams,10,4.0,0
2018,10,2018-07-08,ferrari,1,287.0,4
2018,10,2018-07-08,mercedes,2,267.0,3
2018,10,2018-07-08,red_bull,3,199.0,3
2018,10,2018-07-08,renault,4,70.0,0
2018,10,2018-07-08,haas,5,51.0,0
2018,10,2018-07-08,force_india,6,49.0,0
2018,10,2018-07-08,mclaren,7,48.0,0
2018,10,2018-07-08,toro_rosso,8,19.0,0
2018,10,2018-07-08,sauber,9,16.0,0
2018,10,2018-07-08,williams,10,4.0,0
2018,11,2018-07-22,mercedes,1,310.0,4
2018,11,2018-07-22,ferrari,2,302.0,4
2018,11,2018-07-22,red_bull,3,211.0,3
2018,11,2018-07-22,renault,4,80.0,0
2018,11,2018-07-22,force_india,5,59.0,0
2018,11,2018-07-22,haas,6,59.0,0
2018,11,2018-07-22,mclaren,7,48.0,0
2018,11,2018-07-22,toro_rosso,8,20.0,0
2018,11,2018-07-22,sauber,9,18.0,0
2018,11,2018-07-22,williams,10,4.0,0
2018,12,2018-07-29,mercedes,1,345.0,5
2018,12,2018-07-29,ferrari,2,335.0,4
2018,12,2018-07-29,red_bull,3,223.0,3
2018,12,2018-07-29,renault,4,82.0,0
2018,12,2018-07-29,haas,5,66.0,0
2018,12,2018-07-29,force_india,6,59.0,0
2018,12,2018-07-29,mclaren,7,52.0,0
2018,12,2018-07-29,toro_rosso,8,28.0,0
2018,12,2018-07-29,sauber,9,18.0,0
2018,12,2018-07-29,williams,10,4.0,0
2018,13,2018-08-26,mercedes,1,375.0,5
2018,13,2018-08-26,ferrari,2,360.0,5
2018,13,2018-08-26,red_bull,3,238.0,3
2018,13,2018-08-26,renault,4,82.0,0
2018,13,2018-08-26,force_india,5,77.0,0
2018,13,2018-08-26,haas,6,76.0,0
2018,13,2018-08-26,mclaren,7,52.0,0
2018,13,2018-08-26,toro_rosso,8,30.0,0
2018,13,2018-08-26,sauber,9,19.0,0
2018,13,2018-08-26,williams,10,4.0,0
2018,14,2018-09-02,mercedes,1,415.0,6
2018,14,2018-09-02,ferrari,2,390.0,5
2018,14,2018-09-02,red_bull,3,248.0,3
2018,14,2018-09-02,force_india,4,91.0,0
2018,14,2018-09-02,renault,5,86.0,0
2018,14,2018-09-02,haas,6,76.0,0
2018,14,2018-09-02,mclaren,7,52.0,0
2018,14,2018-09-02,toro_rosso,8,30.0,0
2018,14,2018-09-02,sauber,9,19.0,0
2018,14,2018-09-02,williams,10,7.0,0
2018,15,2018-09-16,mercedes,1,452.0,7
2018,15,2018-09-16,ferrari,2,415.0,5
2018,15,2018-09-16,red_bull,3,274.0,3
2018,15,2018-09-16,force_india,4,91.0,0
2018,15,2018-09-16,renault,5,91.0,0
