year,round,date,driver_id,position,points,wins
2018,1,2018-03-25,vettel,1,25.0,1
2018,1,2018-03-25,hamilton,2,18.0,0
2018,1,2018-03-25,raikkonen,3,15.0,0
2018,1,2018-03-25,ricciardo,4,12.0,0
2018,1,2018-03-25,alonso,5,10.0,0
2018,1,2018-03-25,max_verstappen,6,8.0,0
2018,1,2018-03-25,hulkenberg,7,6.0,0
2018,1,2018-03-25,bottas,8,4.0,0
2018,1,2018-03-25,vandoorne,9,2.0,0
2018,1,2018-03-25,sainz,10,1.0,0
2018,1,2018-03-25,perez,11,0.0,0
2018,1,2018-03-25,ocon,12,0.0,0
2018,1,2018-03-25,leclerc,13,0.0,0
2018,1,2018-03-25,stroll,14,0.0,0
2018,1,2018-03-25,brendon_hartley,15,0.0,0
2018,1,2018-03-25,grosjean,-,0.0,0
2018,1,2018-03-25,kevin_magnussen,-,0.0,0
2018,1,2018-03-25,gasly,-,0.0,0
2018,1,2018-03-25,ericsson,-,0.0,0
2018,1,2018-03-25,sirotkin,-,0.0,0
2018,2,2018-04-08,vettel,1,50.0,2
2018,2,2018-04-08,hamilton,2,33.0,0
2018,2,2018-04-08,bottas,3,22.0,0
2018,2,2018-04-08,alonso,4,16.0,0
2018,2,2018-04-08,raikkonen,5,15.0,0
2018,2,2018-04-08,hulkenberg,6,14.0,0
2018,2,2018-04-08,gasly,7,12.0,0
2018,2,2018-04-08,ricciardo,8,12.0,0
2018,2,2018-04-08,kevin_magnussen,9,10.0,0
2018,2,2018-04-08,max_verstappen,10,8.0,0
2018,2,2018-04-08,vandoorne,11,6.0,0
2018,2,2018-04-08,ericsson,12,2.0,0
2018,2,2018-04-08,sainz,13,1.0,0
2018,2,2018-04-08,ocon,14,1.0,0
2018,2,2018-04-08,perez,15,0.0,0
2018,2,2018-04-08,leclerc,16,0.0,0
2018,2,2018-04-08,grosjean,17,0.0,0
2018,2,2018-04-08,stroll,18,0.0,0
2018,2,2018-04-08,brendon_hartley,19,0.0,0
2018,2,2018-04-08,sirotkin,20,0.0,0
2018,3,2018-04-15,vettel,1,54.0,2
2018,3,2018-04-15,hamilton,2,45.0,0
2018,3,2018-04-15,bottas,3,40.0,0
2018,3,2018-04-15,ricciardo,4,37.0,1
2018,3,2018-04-15,raikkonen,5,30.0,0
2018,3,2018-04-15,alonso,6,22.0,0
2018,3,2018-04-15,hulkenberg,7,22.0,0
2018,3,2018-04-15,max_verstappen,8,18.0,0
2018,3,2018-04-15,gasly,9,12.0,0
2018,3,2018-04-15,kevin_magnussen,10,11.0,0
2018,3,2018-04-15,vandoorne,11,6.0,0
2018,3,2018-04-15,sainz,12,3.0,0
2018,3,2018-04-15,ericsson,13,2.0,0
2018,3,2018-04-15,ocon,14,1.0,0
2018,3,2018-04-15,perez,15,0.0,0
2018,3,2018-04-15,leclerc,16,0.0,0
2018,3,2018-04-15,grosjean,17,0.0,0
2018,3,2018-04-15,stroll,18,0.0,0
2018,3,2018-04-15,sirotkin,19,0.0,0
2018,3,2018-04-15,brendon_hartley,20,0.0,0
2018,4,2018-04-29,hamilton,1,70.0,1
2018,4,2018-04-29,vettel,2,66.0,2
2018,4,2018-04-29,raikkonen,3,48.0,0
2018,4,2018-04-29,bottas,4,40.0,0
2018,4,2018-04-29,ricciardo,5,37.0,1
2018,4,2018-04-29,alonso,6,28.0,0
2018,4,2018-04-29,hulkenberg,7,22.0,0
2018,4,2018-04-29,max_verstappen,8,18.0,0
2018,4,2018-04-29,perez,9,15.0,0
2018,4,2018-04-29,sainz,10,13.0,0
2018,4,2018-04-29,gasly,11,12.0,0
2018,4,2018-04-29,kevin_magnussen,12,11.0,0
2018,4,2018-04-29,leclerc,13,8.0,0
2018,4,2018-04-29,vandoorne,14,8.0,0
2018,4,2018-04-29,stroll,15,4.0,0
2018,4,2018-04-29,ericsson,16,2.0,0
2018,4,2018-04-29,ocon,17,1.0,0
2018,4,2018-04-29,brendon_hartley,18,1.0,0
2018,4,2018-04-29,grosjean,19,0.0,0
2018,4,2018-04-29,sirotkin,20,0.0,0
2018,5,2018-05-13,hamilton,1,95.0,2
2018,5,2018-05-13,vettel,2,78.0,2
2018,5,2018-05-13,bottas,3,58.0,0
2018,5,2018-05-13,raikkonen,4,48.0,0
2018,5,2018-05-13,ricciardo,5,47.0,1
2018,5,2018-05-13,max_verstappen,6,33.0,0
2018,5,2018-05-13,alonso,7,32.0,0
2018,5,2018-05-13,hulkenberg,8,22.0,0
2018,5,2018-05-13,kevin_magnussen,9,19.0,0
2018,5,2018-05-13,sainz,10,19.0,0
2018,5,2018-05-13,perez,11,17.0,0
2018,5,2018-05-13,gasly,12,12.0,0
2018,5,2018-05-13,leclerc,13,9.0,0
2018,5,2018-05-13,vandoorne,14,8.0,0
2018,5,2018-05-13,stroll,15,4.0,0
2018,5,2018-05-13,ericsson,16,2.0,0
2018,5,2018-05-13,ocon,17,1.0,0
2018,5,2018-05-13,brendon_hartley,18,1.0,0
2018,5,2018-05-13,grosjean,19,0.0,0
2018,5,2018-05-13,sirotkin,20,0.0,0
2018,6,2018-05-27,hamilton,1,110.0,2
2018,6,2018-05-27,vettel,2,96.0,2
2018,6,2018-05-27,ricciardo,3,72.0,2
2018,6,2018-05-27,bottas,4,68.0,0
2018,6,2018-05-27,raikkonen,5,60.0,0
2018,6,2018-05-27,max_verstappen,6,35.0,0
2018,6,2018-05-27,alonso,7,32.0,0
2018,6,2018-05-27,hulkenberg,8,26.0,0
2018,6,2018-05-27,sainz,9,20.0,0
2018,6,2018-05-27,kevin_magnussen,10,19.0,0
2018,6,2018-05-27,gasly,11,18.0,0
2018,6,2018-05-27,perez,12,17.0,0
2018,6,2018-05-27,ocon,13,9.0,0
2018,6,2018-05-27,leclerc,14,9.0,0
2018,6,2018-05-27,vandoorne,15,8.0,0
2018,6,2018-05-27,stroll,16,4.0,0
2018,6,2018-05-27,ericsson,17,2.0,0
2018,6,2018-05-27,brendon_hartley,18,1.0,0
2018,6,2018-05-27,grosjean,19,0.0,0
2018,6,2018-05-27,sirotkin,20,0.0,0
2018,7,2018-06-10,vettel,1,121.0,3
2018,7,2018-06-10,hamilton,2,120.0,2
2018,7,2018-06-10,bottas,3,86.0,0
2018,7,2018-06-10,ricciardo,4,84.0,2
2018,7,2018-06-10,raikkonen,5,68.0,0
2018,7,2018-06-10,max_verstappen,6,50.0,0
2018,7,2018-06-10,alonso,7,32.0,0
2018,7,2018-06-10,hulkenberg,8,32.0,0
2018,7,2018-06-10,sainz,9,24.0,0
2018,7,2018-06-10,kevin_magnussen,10,19.0,0
2018,7,2018-06-10,gasly,11,18.0,0
2018,7,2018-06-10,perez,12,17.0,0
2018,7,2018-06-10,ocon,13,11.0,0
2018,7,2018-06-10,leclerc,14,10.0,0
2018,7,2018-06-10,vandoorne,15,8.0,0
2018,7,2018-06-10,stroll,16,4.0,0
2018,7,2018-06-10,ericsson,17,2.0,0
2018,7,2018-06-10,brendon_hartley,18,1.0,0
2018,7,2018-06-10,grosjean,19,0.0,0
2018,7,2018-06-10,sirotkin,20,0.0,0
2018,8,2018-06-24,hamilton,1,145.0,3
2018,8,2018-06-24,vettel,2,131.0,3
2018,8,2018-06-24,ricciardo,3,96.0,2
2018,8,2018-06-24,bottas,4,92.0,0
2018,8,2018-06-24,raikkonen,5,83.0,0
2018,8,2018-06-24,max_verstappen,6,68.0,0
2018,8,2018-06-24,hulkenberg,7,34.0,0
2018,8,2018-06-24,alonso,8,32.0,0
2018,8,2018-06-24,sainz,9,28.0,0
2018,8,2018-06-24,kevin_magnussen,10,27.0,0
2018,8,2018-06-24,gasly,11,18.0,0
2018,8,2018-06-24,perez,12,17.0,0
2018,8,2018-06-24,ocon,13,11.0,0
2018,8,2018-06-24,leclerc,14,11.0,0
2018,8,2018-06-24,vandoorne,15,8.0,0
2018,8,2018-06-24,stroll,16,4.0,0
2018,8,2018-06-24,ericsson,17,2.0,0
2018,8,2018-06-24,brendon_hartley,18,1.0,0
2018,8,2018-06-24,grosjean,19,0.0,0
2018,8,2018-06-24,sirotkin,20,0.0,0
2018,9,2018-07-01,vettel,1,146.0,3
2018,9,2018-07-01,hamilton,2,145.0,3
2018,9,2018-07-01,raikkonen,3,101.0,0
2018,9,2018-07-01,ricciardo,4,96.0,2
2018,9,2018-07-01,max_verstappen,5,93.0,1
2018,9,2018-07-01,bottas,6,92.0,0
2018,9,2018-07-01,kevin_magnussen,7,37.0,0
2018,9,2018-07-01,alonso,8,36.0,0
2018,9,2018-07-01,hulkenberg,9,34.0,0
2018,9,2018-07-01,sainz,10,28.0,0
2018,9,2018-07-01,perez,11,23.0,0
2018,9,2018-07-01,ocon,12,19.0,0
2018,9,2018-07-01,gasly,13,18.0,0
2018,9,2018-07-01,leclerc,14,13.0,0
2018,9,2018-07-01,grosjean,15,12.0,0
2018,9,2018-07-01,vandoorne,16,8.0,0
2018,9,2018-07-01,stroll,17,4.0,0
2018,9,2018-07-01,ericsson,18,3.0,0
2018,9,2018-07-01,brendon_hartley,19,1.0,0
2018,9,2018-07-01,sirotkin,20,0.0,0
2018,10,2018-07-08,vettel,1,171.0,4
2018,10,2018-07-08,hamilton,2,163.0,3
2018,10,2018-07-08,raikkonen,3,116.0,0
2018,10,2018-07-08,ricciardo,4,106.0,2
